scenario,mars_base_latency_s,blackout_start_s,blackout_duration_s,sim_end_s,reconcile_interval_s,global_timeout_s,global_max_rounds,seed,earth_success,earth_total,mars_success,mars_total,global_pre_success,global_pre_total,global_during_success,global_during_total,global_post_success,global_post_total,first_success_after_blackout_s,avg_global_latency_s,earth_local_avg_latency_s,earth_local_p95_latency_s,mars_local_avg_latency_s,mars_local_p95_latency_s,global_phase1_responses_earth,global_phase1_responses_leo,global_phase1_responses_moon,global_phase1_responses_mars,global_phase2_responses_earth,global_phase2_responses_leo,global_phase2_responses_moon,global_phase2_responses_mars,network_src_sent_earth,network_src_sent_leo,network_src_sent_moon,network_src_sent_mars,network_src_avg_oneway_s_earth,network_src_avg_oneway_s_leo,network_src_avg_oneway_s_moon,network_src_avg_oneway_s_mars
blackout_only,750.0,600.0,900.0,4000.0,120.0,500.0,1,43,1777,1777,1980,1980,0,1,0,2,0,3,,,0.250885,0.263671,0.021053,0.022632,35,7,7,6,0,0,0,0,35661,7,7,23772,0.308093,0.018800,1.279041,0.193199
with_repeater,750.0,600.0,900.0,4000.0,120.0,500.0,1,43,1777,1777,1980,1980,0,1,2,2,0,3,163.385120,461.687560,0.250866,0.263600,0.021078,0.022674,35,7,7,15,10,2,2,6,35692,9,9,23784,0.431433,0.020041,1.280471,0.410855
blackout_only,750.0,600.0,900.0,4000.0,120.0,500.0,1,44,1777,1777,1980,1980,0,1,0,2,0,3,,,0.251588,0.263976,0.021056,0.022595,35,7,7,6,0,0,0,0,35645,7,7,23772,0.308231,0.020119,1.281736,0.193271
with_repeater,750.0,600.0,900.0,4000.0,120.0,500.0,1,44,1777,1777,1980,1980,0,1,2,2,0,3,179.505459,469.747730,0.250885,0.263761,0.021086,0.022684,35,7,7,15,10,2,2,6,35691,9,9,23784,0.431271,0.019687,1.281101,0.405959
blackout_only,750.0,600.0,1800.0,4000.0,120.0,500.0,1,40,1778,1778,1980,1980,0,1,0,3,0,2,,,0.250770,0.263621,0.021054,0.022653,35,7,7,3,0,0,0,0,35665,7,7,23769,0.244675,0.021281,1.278092,0.098375
with_repeater,750.0,600.0,1800.0,4000.0,120.0,500.0,1,40,1777,1777,1980,1980,0,1,3,4,0,1,,472.693426,0.251139,0.263600,0.021041,0.022678,35,7,7,15,15,3,3,9,35690,10,10,23787,0.323788,0.018991,1.283663,0.374592
blackout_only,750.0,600.0,1800.0,4000.0,120.0,500.0,1,41,1777,1777,1980,1980,0,1,0,3,0,2,,,0.251219,0.263737,0.021064,0.022681,35,7,7,3,0,0,0,0,35645,7,7,23769,0.244882,0.021526,1.275505,0.098270
with_repeater,750.0,600.0,1800.0,4000.0,120.0,500.0,1,41,1778,1778,1980,1980,0,1,3,4,0,1,,466.715707,0.250717,0.263654,0.021029,0.022593,35,7,7,15,15,3,3,9,35710,10,10,23787,0.322738,0.021185,1.282387,0.373473
blackout_only,750.0,600.0,1800.0,4000.0,120.0,500.0,1,42,1778,1778,1980,1980,0,1,0,3,0,2,,,0.250824,0.263492,0.021110,0.022665,35,7,7,3,0,0,0,0,35665,7,7,23769,0.245088,0.020536,1.281936,0.098849
with_repeater,750.0,600.0,1800.0,4000.0,120.0,500.0,1,42,1778,1778,1980,1980,0,1,3,3,0,2,,477.489160,0.250746,0.263264,0.021081,0.022668,35,7,7,15,15,3,3,9,35710,10,10,23787,0.365761,0.020152,1.279357,0.375527
blackout_only,750.0,600.0,1800.0,4000.0,120.0,500.0,1,43,1777,1777,1980,1980,0,1,0,3,0,2,,,0.250948,0.263616,0.021039,0.022632,35,7,7,3,0,0,0,0,35653,7,7,23769,0.245029,0.019699,1.276900,0.098292
with_repeater,750.0,600.0,1800.0,4000.0,120.0,500.0,1,43,1777,1777,1980,1980,0,1,3,4,0,1,,466.882390,0.251270,0.263948,0.021048,0.022636,35,7,7,15,15,3,3,9,35690,10,10,23787,0.323990,0.019469,1.280780,0.376409
blackout_only,750.0,600.0,1800.0,4000.0,120.0,500.0,1,44,1777,1777,1980,1980,0,1,0,3,0,2,,,0.251347,0.263745,0.021082,0.022638,35,7,7,3,0,0,0,0,35645,7,7,23769,0.244580,0.020107,1.280270,0.098470
with_repeater,750.0,600.0,1800.0,4000.0,120.0,500.0,1,44,1777,1777,1980,1980,0,1,3,4,0,1,,469.286890,0.251194,0.264518,0.021066,0.022679,35,7,7,15,15,3,3,9,35690,10,10,23787,0.322310,0.020161,1.282876,0.371744
blackout_only,1342.0,600.0,300.0,4000.0,120.0,500.0,1,40,1778,1778,1980,1980,0,1,0,1,0,4,,,0.250807,0.263415,0.021050,0.022618,35,7,7,6,0,0,0,0,35665,7,7,23772,0.507221,0.020644,1.279051,0.342735
with_repeater,1342.0,600.0,300.0,4000.0,120.0,500.0,1,40,1777,1777,1980,1980,0,1,1,1,0,4,198.954845,478.944845,0.250873,0.263981,0.021051,0.022700,35,7,7,9,5,1,1,3,35678,8,8,23778,0.640619,0.022341,1.278819,0.542839
blackout_only,1342.0,600.0,300.0,4000.0,120.0,500.0,1,41,1777,1777,1980,1980,0,1,0,1,0,4,,,0.251053,0.263784,0.021070,0.022689,35,7,7,6,0,0,0,0,35645,7,7,23772,0.507069,0.020890,1.277491,0.342865
with_repeater,1342.0,600.0,300.0,4000.0,120.0,500.0,1,41,1777,1777,1980,1980,0,1,1,1,0,4,202.615804,482.605804,0.250937,0.264239,0.021048,0.022593,35,7,7,9,5,1,1,3,35669,8,8,23778,0.640770,0.019525,1.279204,0.542430
blackout_only,1342.0,600.0,300.0,4000.0,120.0,500.0,1,42,1777,1777,1980,1980,0,1,0,1,0,4,,,0.251336,0.263953,0.021088,0.022625,35,7,7,6,0,0,0,0,35645,7,7,23772,0.507230,0.020528,1.277794,0.342510
with_repeater,1342.0,600.0,300.0,4000.0,120.0,500.0,1,42,1777,1777,1980,1980,0,1,1,1,0,4,182.922795,462.912795,0.251138,0.264072,0.021077,0.022639,35,7,7,9,5,1,1,3,35660,8,8,23778,0.639938,0.020230,1.283676,0.541745
blackout_only,1342.0,600.0,300.0,4000.0,120.0,500.0,1,43,1777,1777,1980,1980,0,1,0,1,0,4,,,0.251019,0.263663,0.021060,0.022666,35,7,7,6,0,0,0,0,35645,7,7,23772,0.507512,0.018408,1.281328,0.342688
