scenario,mars_base_latency_s,blackout_start_s,blackout_duration_s,sim_end_s,reconcile_interval_s,global_timeout_s,global_max_rounds,seed,earth_success,earth_total,mars_success,mars_total,global_pre_success,global_pre_total,global_during_success,global_during_total,global_post_success,global_post_total,phase_timeout_s,pre_window_s,post_window_s,temporally_scaled,first_success_after_blackout_s,avg_global_latency_s,earth_local_avg_latency_s,earth_local_p95_latency_s,mars_local_avg_latency_s,mars_local_p95_latency_s,global_phase1_responses_earth,global_phase1_responses_leo,global_phase1_responses_moon,global_phase1_responses_mars,global_phase2_responses_earth,global_phase2_responses_leo,global_phase2_responses_moon,global_phase2_responses_mars,network_src_sent_earth,network_src_sent_leo,network_src_sent_moon,network_src_sent_mars,network_src_avg_oneway_s_earth,network_src_avg_oneway_s_leo,network_src_avg_oneway_s_moon,network_src_avg_oneway_s_mars
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,70,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,732.812123,367.375142,0.251046,0.263506,0.021028,0.022566,45,9,9,21,35,7,7,18,38720,16,16,25761,0.271135,0.019016,1.278611,0.285761
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,70,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,215.483460,379.846585,0.250704,0.263450,0.021051,0.022637,45,9,9,24,40,8,8,24,38735,17,17,25767,0.304531,0.020099,1.280327,0.361295
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,71,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,734.228351,369.026868,0.251031,0.263530,0.021070,0.022628,45,9,9,21,35,7,7,18,38720,16,16,25761,0.272461,0.019810,1.278535,0.285062
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,71,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,226.337937,382.916920,0.251110,0.263950,0.021075,0.022634,45,9,9,24,40,8,8,24,38735,17,17,25767,0.304984,0.019426,1.281182,0.364431
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,72,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,736.239516,368.832661,0.251106,0.263704,0.021089,0.022679,45,9,9,21,35,7,7,18,38720,16,16,25761,0.272330,0.019932,1.281723,0.285048
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,72,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,209.751083,382.005667,0.251021,0.263694,0.021097,0.022646,45,9,9,24,40,8,8,24,38735,17,17,25767,0.305468,0.019514,1.281410,0.363120
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,73,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,737.624534,368.038896,0.250885,0.263481,0.021035,0.022643,45,9,9,21,35,7,7,18,38720,16,16,25761,0.272011,0.019212,1.281660,0.284853
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,73,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,217.727657,381.271955,0.250957,0.263774,0.021039,0.022697,45,9,9,24,40,8,8,24,38735,17,17,25767,0.305130,0.018463,1.279674,0.362512
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,74,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,733.222009,368.223691,0.250937,0.263934,0.021070,0.022589,45,9,9,21,35,7,7,18,38720,16,16,25761,0.271848,0.020754,1.280660,0.284503
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,74,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,217.157669,380.565031,0.250909,0.263827,0.021083,0.022710,45,9,9,24,40,8,8,24,38735,17,17,25767,0.304679,0.020198,1.281433,0.361486
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,75,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,734.258565,368.044519,0.251092,0.263655,0.021016,0.022566,45,9,9,21,35,7,7,18,38720,16,16,25761,0.272370,0.020738,1.280225,0.285534
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,75,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,225.526778,382.191433,0.251103,0.264117,0.021033,0.022652,45,9,9,24,40,8,8,24,38735,17,17,25767,0.306658,0.019316,1.276901,0.362627
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,76,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,745.526596,370.006112,0.251155,0.263453,0.021033,0.022645,45,9,9,21,35,7,7,18,38720,16,16,25761,0.271730,0.019653,1.279440,0.285223
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,76,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,222.636644,382.261585,0.251162,0.263604,0.021030,0.022570,45,9,9,24,40,8,8,24,38735,17,17,25767,0.304595,0.021279,1.281456,0.362570
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,77,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,731.170220,368.015014,0.251000,0.263802,0.021060,0.022593,45,9,9,21,35,7,7,18,38720,16,16,25761,0.271939,0.019974,1.282770,0.285421
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,77,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,200.943955,379.629415,0.251035,0.264149,0.021092,0.022616,45,9,9,24,40,8,8,24,38735,17,17,25767,0.304473,0.018519,1.282540,0.362928
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,78,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,728.090626,366.648129,0.251412,0.263720,0.021088,0.022604,45,9,9,21,35,7,7,18,38720,16,16,25761,0.271367,0.020121,1.280266,0.284695
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,78,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,219.704969,380.534669,0.250994,0.263229,0.021122,0.022722,45,9,9,24,40,8,8,24,38735,17,17,25767,0.304703,0.021167,1.281082,0.361991
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,79,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,728.900161,366.473463,0.251208,0.263624,0.021086,0.022683,45,9,9,21,35,7,7,18,38720,16,16,25761,0.271415,0.020163,1.280428,0.285240
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,79,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,216.312692,381.148841,0.251206,0.263920,0.021087,0.022690,45,9,9,24,40,8,8,24,38735,17,17,25767,0.304554,0.020506,1.280700,0.361961
