scenario,mars_base_latency_s,global_timeout_s,blackout_duration_s,seed,global_pre_success,global_pre_total,global_during_success,global_during_total,global_post_success,global_post_total,global_during_rate,global_post_rate,first_success_after_blackout_s,avg_global_latency_s
blackout_only,186.0,120.0,900.0,48,5,5,8,8,21,21,1.000000,1.000000,62.524387,0.182405
with_repeater,186.0,120.0,900.0,48,5,5,8,8,21,21,1.000000,1.000000,62.530310,0.182176
blackout_only,186.0,120.0,900.0,49,5,5,8,8,21,21,1.000000,1.000000,62.601856,0.184333
with_repeater,186.0,120.0,900.0,49,5,5,8,8,21,21,1.000000,1.000000,62.549286,0.181699
blackout_only,186.0,120.0,900.0,50,5,5,8,8,21,21,1.000000,1.000000,62.572829,0.184049
with_repeater,186.0,120.0,900.0,50,5,5,8,8,21,21,1.000000,1.000000,62.566051,0.183665
blackout_only,186.0,120.0,900.0,51,5,5,8,8,21,21,1.000000,1.000000,62.544631,0.182889
with_repeater,186.0,120.0,900.0,51,5,5,8,8,21,21,1.000000,1.000000,62.591561,0.185686
blackout_only,186.0,120.0,900.0,52,5,5,8,8,21,21,1.000000,1.000000,62.621496,0.184646
with_repeater,186.0,120.0,900.0,52,5,5,8,8,21,21,1.000000,1.000000,62.574352,0.184521
blackout_only,186.0,120.0,900.0,53,5,5,8,8,21,21,1.000000,1.000000,62.615021,0.183629
with_repeater,186.0,120.0,900.0,53,5,5,8,8,21,21,1.000000,1.000000,62.539745,0.181218
blackout_only,186.0,120.0,900.0,54,5,5,8,8,21,21,1.000000,1.000000,62.556620,0.184289
with_repeater,186.0,120.0,900.0,54,5,5,8,8,21,21,1.000000,1.000000,62.578317,0.183960
blackout_only,186.0,120.0,900.0,55,5,5,8,8,21,21,1.000000,1.000000,62.553380,0.183686
with_repeater,186.0,120.0,900.0,55,5,5,8,8,21,21,1.000000,1.000000,62.557639,0.182254
blackout_only,186.0,120.0,900.0,56,5,5,8,8,21,21,1.000000,1.000000,62.589142,0.183296
with_repeater,186.0,120.0,900.0,56,5,5,8,8,21,21,1.000000,1.000000,62.567021,0.182517
